"x","y","pos","order"
4705.74853515625,3473.64721679688,"4705.74853515625_3473.64721679688",4914
4728.322265625,3586.43286132812,"4728.322265625_3586.43286132812",7815
4736.19970703125,3659.50537109375,"4736.19970703125_3659.50537109375",2484
4763.2548828125,3736.13452148438,"4763.2548828125_3736.13452148438",21859
4765.47998046875,3776.76171875,"4765.47998046875_3776.76171875",8911
4784.61962890625,3866.98681640625,"4784.61962890625_3866.98681640625",5794
4755.3369140625,3933.904296875,"4755.3369140625_3933.904296875",32665
4717.44140625,4033.83666992188,"4717.44140625_4033.83666992188",9720
4688.20166015625,4142.41162109375,"4688.20166015625_4142.41162109375",23499
4575.9755859375,4238.6708984375,"4575.9755859375_4238.6708984375",33938
4518.7109375,4307.7822265625,"4518.7109375_4307.7822265625",17715
4460.03955078125,4354.138671875,"4460.03955078125_4354.138671875",20216
4399.24560546875,4396.85205078125,"4399.24560546875_4396.85205078125",28915
4313.25634765625,4520.068359375,"4313.25634765625_4520.068359375",31367
4212.2197265625,4587.70556640625,"4212.2197265625_4587.70556640625",3852
4157.90625,4720.88623046875,"4157.90625_4720.88623046875",9281
4095.677734375,4774.31396484375,"4095.677734375_4774.31396484375",15245
4077.388671875,4830.60888671875,"4077.388671875_4830.60888671875",30446
4052.58520507812,4869.93408203125,"4052.58520507812_4869.93408203125",5107
4043.25048828125,4918.58642578125,"4043.25048828125_4918.58642578125",34744
3997.65063476562,4940.4833984375,"3997.65063476562_4940.4833984375",26988
3952.38012695312,5021.9375,"3952.38012695312_5021.9375",32425
3934.57006835938,5135.9375,"3934.57006835938_5135.9375",29694
3903.99853515625,5185.8408203125,"3903.99853515625_5185.8408203125",24726
3841.1953125,5329.45263671875,"3841.1953125_5329.45263671875",22159
3768.25170898438,5374.2763671875,"3768.25170898438_5374.2763671875",10445
3687.40502929688,5441.44482421875,"3687.40502929688_5441.44482421875",24776
3613.29565429688,5507.2578125,"3613.29565429688_5507.2578125",13098
3557.41284179688,5566.79736328125,"3557.41284179688_5566.79736328125",30896
3443.62353515625,5637.58740234375,"3443.62353515625_5637.58740234375",2968
3356.88110351562,5669.57568359375,"3356.88110351562_5669.57568359375",21214
3292.67626953125,5716.3818359375,"3292.67626953125_5716.3818359375",13419
3231.29125976562,5781.9013671875,"3231.29125976562_5781.9013671875",33207
3158.80200195312,5840.3056640625,"3158.80200195312_5840.3056640625",337
3101.06518554688,5833.80029296875,"3101.06518554688_5833.80029296875",9447
2988.9560546875,5878.43505859375,"2988.9560546875_5878.43505859375",6578
2925.73876953125,5932.2626953125,"2925.73876953125_5932.2626953125",59
2886.4296875,5938.458984375,"2886.4296875_5938.458984375",12542
2858.67724609375,5950.412109375,"2858.67724609375_5950.412109375",11096
2773.97241210938,5966.74951171875,"2773.97241210938_5966.74951171875",32818
2712.11572265625,5935.484375,"2712.11572265625_5935.484375",2225
2626.65625,5927.53515625,"2626.65625_5927.53515625",1575
2567.58129882812,5940.42236328125,"2567.58129882812_5940.42236328125",30576
2496.70727539062,5910.140625,"2496.70727539062_5910.140625",27616
2444.4111328125,5863.5869140625,"2444.4111328125_5863.5869140625",21982
2377.62426757812,5822.35595703125,"2377.62426757812_5822.35595703125",2149
2361.8916015625,5806.6015625,"2361.8916015625_5806.6015625",10672
2277.0146484375,5752.177734375,"2277.0146484375_5752.177734375",20105
2211.6806640625,5698.16943359375,"2211.6806640625_5698.16943359375",23584
2170.4619140625,5636.00634765625,"2170.4619140625_5636.00634765625",28669
2149.3896484375,5585.2705078125,"2149.3896484375_5585.2705078125",30635
2124.17626953125,5521.9345703125,"2124.17626953125_5521.9345703125",639
2084.36572265625,5428.33544921875,"2084.36572265625_5428.33544921875",4056
